W00-1401 "Evaluation Metrics for Generation"
W09-3003 "Assessing the benefits of partial automatic pre-labeling for frame-semantic annotation"
W09-3004 "Bridging the Gaps: Interoperability for GrAF, GATE, and UIMA"
W09-3005 "By all these lovely tokens... Merging Conflicting Tokenizations"
W09-3006 "Annotating Subordinators in the Turkish Discourse Bank"
W09-3007 "Annotation of Events and Temporal Expressions in French Texts"
W09-3008 "Designing a Language Game for Collecting Coreference Annotation"
W09-3009 "Explorations in Automatic Image Annotation using Textual Features"
W09-3010 "Human Evaluation of Article and Noun Number Usage: Influences of Context and Construction Variability"
W09-3011 "Stand-off TEI Annotation: the Case of the National Corpus of Polish"
W09-3012 "Committed Belief Annotation and Tagging"
W09-3013 "Annotation of Sentence Structure; Capturing the Relationship among Clauses in Czech Sentences"
W09-3014 "Schema and Variation: Digitizing Printed Dictionaries"
W09-3015 "Syntactic annotation of spoken utterances: A case study on the Czech Academic Corpus"
W09-3016 "High-Performance High-Volume Layered Corpora Annotation"
W09-3017 "The Coding Scheme for Annotating Extended Nominal Coreference and Bridging Anaphora in the Prague Dependency Treebank"
W09-3018 "Timed Annotations \u2014 Enhancing MUC7 Metadata by the Time It Takes to Annotate Named Entities"
W09-3019 "Transducing Logical Relations from Automatic and Manual GLARF"
W09-3020 "Using Parallel Propbanks to enhance Word-alignments"
W09-3021 "WordNet and FrameNet as Complementary Resources for Annotation"
W09-3022 "Annotating language errors in texts: investigating argumentation and decision schemas"
W09-3023 "Developing Novel Multimodal and Linguistic Annotation Software"
W09-3024 "Unsupervised Detection of Annotation Inconsistencies Using Apriori Algorithm"
W09-3025 "Towards a Methodology for Named Entities Annotation"
W09-3026 "Online Search Interface for the Sejong Korean-Japanese Bilingual Corpus and Auto-interpolation of Phrase Alignment"
W09-3027 "Annotating Semantic Relations Combining Facts and Opinions"
W09-3028 "Ingesting the Auslan Corpus into the DADA Annotation Store"
W09-3029 "The Hindi Discourse Relation Bank"
W09-3030 "Simple Parser for Indian Languages in a Dependency Framework"
W09-3031 "Annotating Discourse Anaphora"
W09-3032 "Annotating Wall Street Journal Texts Using a Hand-Crafted Deep Linguistic Grammar"
W09-3033 "A general scheme for broad-coverage multimodal annotation"
W09-3034 "The SILT and FlaReNet International Collaboration for Interoperability"
W09-3035 "Building a Large Syntactically-Annotated Corpus of Vietnamese"
W09-3801 "Parsing Algorithms based on Tree Automata"
W09-3802 "Weighted parsing of trees"
W09-3803 "Automatic Adaptation of Annotation Standards for Dependency Parsing ? Using Projected Treebank as Source Corpus"
W09-3804 "Learning Stochastic Bracketing Inversion Transduction Grammars with a Cubic Time Biparsing Algorithm"
W09-3805 "Empirical lower bounds on translation unit error rate for the full class of inversion transduction grammars"
W09-3806 "Predictive Text Entry using Syntax and Semantics"
W09-3807 "Parsing Formal Languages using Natural Language Parsing Techniques"
W09-3808 "An Incremental Earley Parser for Simple Range Concatenation Grammar"
W09-3809 "Deductive Parsing in Interaction Grammars"
W09-3810 "Synchronous Rewriting in Treebanks"
W09-3811 "An Improved Oracle for Dependency Parsing with Online Reordering"
W09-3812 "Two stage constraint based hybrid approach to free word order language dependency parsing"
W09-3813 "Analysis of Discourse Structure with Syntactic Dependencies and Data-Driven Shift-Reduce Parsing"
W09-3814 "Evaluating Contribution of Deep Syntactic Information to Shallow Semantic Analysis"
W09-3815 "Weight Pushing and Binarization for Fixed-Grammar Parsing"
W09-3816 "Co-Parsing with Competitive Models"
W09-3817 "Capturing Consistency between Intra-clause and Inter-clause Relations in Knowledge-rich Dependency and Case Structure Analysis"
W09-3818 "Constructing parse forests that include exactly the n-best PCFG trees"
W09-3819 "Hebrew Dependency Parsing: Initial Results"
W09-3820 "Scalable Discriminative Parsing for German"
W09-3821 "Improving generative statistical parsing with semi-supervised word clustering"
W09-3822 "Application of feature propagation to dependency parsing"
W09-3823 "Guessing the Grammatical Function of a Non-Root F-Structure in LFG"
W09-3824 "Cross parser evaluation : a French Treebanks study"
W09-3825 "Transition-Based Parsing of the Chinese Treebank using a Global Discriminative Model"
W09-3826 "Grammar Error Detection with Best Approximated Parse"
W09-3827 "The effect of correcting grammatical errors on parse probabilities"
W09-3828 "Effective Analysis of Causes and Inter-dependencies of Parsing Errors"
W09-3829 "Clustering Words by Syntactic Similarity improves Dependency Parsing of Predicate-argument Structures"
W09-3830 "The chunk as the period of the functions length and frequency of words on the syntagmatic axis"
W09-3831 "Using a maximum entropy-based tagger to improve a very fast vine parser"
W09-3832 "HPSG Supertagging: A Sequence Labeling View"
W09-3833 "Smoothing fine-grained PCFG lexicons"
W09-3834 "Wide-coverage parsing of speech transcripts"
W09-3835 "Interactive Predictive Parsing"
W09-3836 "Using Treebanking Discriminants as Parse Disambiguation Features"
W09-3837 "Heuristic search in a cognitive model of human parsing"
W09-3838 "Dependency Parsing with Energy-based Reinforcement Learning"
W09-3839 "A generative re-ranking model for dependency parsing"
W09-3840 "Dependency Constraints for Lexical Disambiguation"
W09-4501 "Extraction and Exploration of Correlations in Patient Status Data"
W09-4502 "Semantic Portals in Biomedicine: Case Study"
W09-4503 "A Joint Model for Normalizing Gene and Organism Mentions in Text"
W09-4504 "Corpus Study of Kidney-related Experimental Data in Scientific Papers"
W09-4505 "Issues on Quality Assessment of SNOMED CT\u00ae Subsets \u2013 Term Validation and Term Extraction"
W09-4506 "Natural Language Processing to Detect Risk Patterns Related to Hospital Acquired Infections"
W09-4507 "Cascading Classifiers for Named Entity Recognition in Clinical Notes"
W10-0701 "Creating Speech and Language Data With Amazon\u2019s Mechanical Turk"
W10-0702 "Corpus Creation for New Genres: A Crowdsourced Approach to PP Attachment"
W10-0703 "Clustering dictionary definitions using Amazon Mechanical Turk"
W10-0704 "Semi-supervised Word Alignment with Mechanical Turk"
W10-0705 "Rating Computer-Generated Questions with Mechanical Turk"
W10-0706 "Crowdsourced Accessibility: Elicitation of Wikipedia Articles"
W10-0708 "Using Amazon Mechanical Turk for Transcription of Non-Native Speech"
W10-0709 "Exploring Normalization Techniques for Human Judgments of Machine Translation Adequacy Collected Using Amazon Mechanical Turk"
W10-0710 "Can Crowds Build parallel corpora for Machine Translation Systems?"
W10-0711 "Turker-Assisted Paraphrasing for English-Arabic Machine Translation"
W10-0712 "Annotating Large Email Datasets for Named Entity Recognition with Mechanical Turk"
W10-0713 "Annotating Named Entities in Twitter Data with Crowdsourcing"
W10-0714 "MTurk Crowdsourcing: A Viable Method for Rapid Discovery of Arabic Nicknames?"
W10-0715 "An Enriched MT Grammar for Under $100"
W10-0716 "Using the Amazon Mechanical Turk to Transcribe and Annotate Meeting Speech for Extractive Summarization"
W10-0717 "Using Mechanical Turk to Annotate Lexicons for Less Commonly Used Languages"
W10-0718 "Opinion Mining of Spanish Customer Comments with Non-Expert Annotations on Mechanical Turk"
W10-0719 "Crowdsourcing and language studies: the new generation of linguistic data"
W10-0720 "Not-So-Latent Dirichlet Allocation: Collapsed Gibbs Sampling Using Human Judgments"
W10-0721 "Collecting Image Annotations Using Amazon\u2019s Mechanical Turk"
W10-0722 "Non-Expert Evaluation of Summarization Systems is Risky"
W10-0723 "Shedding (a Thousand Points of) Light on Biased Language"
W10-0724 "Evaluation of Commonsense Knowledge with Mechanical Turk"
W10-0725 "Cheap Facts and Counter-Facts"
W10-0726 "The Wisdom of the Crowd\u00e2s Ear: Speech Accent Rating and Annotation with Amazon Mechanical Turk"
W10-0727 "Crowdsourcing Document Relevance Assessment with Mechanical Turk"
W10-0728 "Preliminary Experiments with Amazon\u2019s Mechanical Turk for Annotating Medical Named Entities"
W10-0729 "Tools for Collecting Speech Corpora via Mechanical-Turk"
W10-0730 "Measuring Transitivity Using Untrained Annotators"
W10-0731 "Amazon Mechanical Turk for Subjectivity Word Sense Disambiguation"
W10-0732 "Non-Expert Correction of Automatically Generated Relation Annotations"
W10-0733 "Using Mechanical Turk to Build Machine Translation Evaluation Sets"
W10-0734 "Creating a Bi-lingual Entailment Corpus through Translations with Mechanical Turk: $100 for a 10-day Rush"
W10-1301 "Using NLG and Sensors to Support Personal Narrative for Children with Complex Communication Needs"
W10-1302 "Automatic generation of conversational utterances and narrative for Augmentative and Alternative Communication: a prototype system"
W10-1303 "Implications of Pragmatic and Cognitive Theories on the Design of Utterance-Based AAC Systems"
W10-1304 "Scanning methods and language modeling for binary switch typing"
W10-1305 "A Platform for Automated Acoustic Analysis for Assistive Technology"
W10-1306 "An Approach for Anonymous Spelling for Voter Write-Ins Using Speech Interaction"
W10-1307 "Using Reinforcement Learning to Create Communication Channel Management Strategies for Diverse Users"
W10-1308 "A Multimodal Vocabulary for Augmentative and Alternative Communication from Sound/Image Label Datasets"
W10-1309 "Demo Session Abstracts"
W10-1310 "State-Transition Interpolation and MAP Adaptation for HMM-based Dysarthric Speech Recognition"
W10-1311 "Towards a noisy-channel model of dysarthria in speech recognition"
W10-1312 "Collecting a Motion-Capture Corpus of American Sign Language for Data-Driven Generation Research"
W10-1401 "Statistical Parsing of Morphologically Rich Languages (SPMRL) What, How and Whither"
W10-1402 "Improving Arabic Dependency Parsing with Lexical and Inflectional Morphological Features"
W10-1403 "Two Methods to Incorporate \u2019Local Morphosyntactic\u2019 Features in Hindi Dependency Parsing"
W10-1404 "Application of Different Techniques to Dependency Parsing of Basque"
W10-1405 "Modeling Morphosyntactic Agreement in Constituency-Based Parsing of Modern Hebrew"
W10-1406 "Factors Affecting the Accuracy of Korean Parsing"
W10-1407 "Direct Parsing of Discontinuous Constituents in German"
W10-1408 "Handling Unknown Words in Statistical Latent-Variable Parsing Models for Arabic, English and French"
W10-1409 "Parsing Word Clusters"
W10-1410 "Lemmatization and Lexicalized Statistical Parsing of Morphologically-Rich Languages: the Case of French"
W10-1411 "On the Role of Morphosyntactic Features in Hindi Dependency Parsing"
W10-1801 "EmotiBlog: A Finer-Grained and More Precise Learning of Subjectivity Expression Models"
W10-1802 "Error-Tagged Learner Corpus of Czech"
W10-1803 "Annotation Scheme for Social Network Extraction from Text"
W10-1804 "Agile Corpus Annotation in Practice: An Overview of Manual and Automatic Annotation of CVs"
W10-1805 "Consistency Checking for Treebank Alignment"
W10-1806 "Anveshan: A Framework for Analysis of Multiple Annotators\u2019 Labeling Behavior"
W10-1807 "Influence of Pre-Annotation on POS-Tagged Corpus Development"
W10-1808 "To Annotate More Accurately or to Annotate More"
W10-1809 "Annotating Underquantification"
W10-1810 "PropBank Annotation of Multilingual Light Verb Constructions"
W10-1811 "Retrieving Correct Semantic Boundaries in Dependency Structure"
W10-1812 "Complex Predicates Annotation in a Corpus of Portuguese"
W10-1813 "Using an Online Tool for the Documentation of Edo Language"
W10-1814 "Cross-Lingual Validity of PropBank in the Manual Annotation of French"
W10-1815 "Characteristics of High Agreement Affect Annotation in Text"
W10-1816 "The Deep Re-Annotation in a Chinese Scientific Treebank"
W10-1817 "The Unified Annotation of Syntax and Discourse in the Copenhagen Dependency Treebanks"
W10-1818 "Identifying Sources of Inter-Annotator Variation: Evaluating Two Models of Argument Analysis"
W10-1819 "Dependency-Based PropBanking of Clinical Finnish"
W10-1820 "Building the Syntactic Reference Corpus of Medieval French Using NotaBene RDF Annotation Tool"
W10-1821 "Chunking German: An Unsolved Problem"
W10-1822 "Proposal for MWE Annotation in Running Text"
W10-1823 "A Feature Type Classification for Therapeutic Purposes: A Preliminary Evaluation with Non-Expert Speakers"
W10-1824 "Annotating Korean Demonstratives"
W10-1825 "Creating and Exploiting a Resource of Parallel Parses"
W10-1826 "From Descriptive Annotation to Grammar Specification"
W10-1827 "An Annotation Schema for Preposition Senses in German"
W10-1828 "OTTO: A Transcription and Management Tool for Historical Texts"
